"filename", "language", "Python", "HTML", "MS SQL", "Properties", "Batch", "pip requirements", "PowerShell", "XML", "JavaScript", "reStructuredText", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtDataVisualization.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtDesigner.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtGui.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtHelp.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtLocation.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtMacExtras.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtMultimedia.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtMultimediaWidgets.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtNetwork.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtNetworkAuth.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtNfc.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtOpenGL.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtPositioning.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\PyInstaller\hooks\hook-PyQt5.QtPrintSupport.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 15
