"filename", "language", "Python", "reStructuredText", "HTML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\tests\test_backends.py", "Python", 21, 0, 0, 0, 0, 9, 7, 37
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\tests\test_win32api.py", "Python", 211, 0, 0, 0, 0, 36, 58, 305
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\tests\test_win32cred.py", "Python", 147, 0, 0, 0, 0, 41, 43, 231
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\version.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\win32api.py", "Python", 5, 0, 0, 0, 0, 7, 2, 14
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\win32ctypes\win32cred.py", "Python", 5, 0, 0, 0, 0, 7, 2, 14
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\agendar_cita.py", "Python", 74, 0, 0, 0, 0, 4, 16, 94
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\agregar_producto.py", "Python", -1, 0, 0, 0, 0, 0, -2, -3
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\agregar_promocion.py", "Python", 8, 0, 0, 0, 0, -1, -13, -6
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\agregar_servicio.py", "Python", 2, 0, 0, 0, 0, 5, -4, 3
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\disponibilidad.py", "Python", 35, 0, 0, 0, 0, 1, 6, 42
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\generar_pago.py", "Python", 4, 0, 0, 0, 0, 2, -1, 5
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\home.py", "Python", -8, 0, 0, 0, 0, 0, -8, -16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\inventario.py", "Python", 8, 0, 0, 0, 0, 5, -6, 7
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\login.py", "Python", 38, 0, 0, 0, 0, 1, 6, 45
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\modificar_producto.py", "Python", -2, 0, 0, 0, 0, 0, 0, -2
