"filename", "language", "Python", "pip requirements", "Properties", "MS SQL", "Batch", "PowerShell", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\weakref_finalize.py", "Python", 120, 0, 0, 0, 0, 0, 0, 0, 15, 21, 156
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\packages\six.py", "Python", 805, 0, 0, 0, 0, 0, 0, 0, 53, 219, 1077
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\poolmanager.py", "Python", 402, 0, 0, 0, 0, 0, 0, 0, 33, 103, 538
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\request.py", "Python", 151, 0, 0, 0, 0, 0, 0, 0, 0, 41, 192
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\response.py", "Python", 669, 0, 0, 0, 0, 0, 0, 0, 79, 132, 880
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\__init__.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 1, 3, 50
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\connection.py", "Python", 100, 0, 0, 0, 0, 0, 0, 0, 18, 32, 150
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\proxy.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 4, 11, 58
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\queue.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 1, 8, 23
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\request.py", "Python", 103, 0, 0, 0, 0, 0, 0, 0, 6, 29, 138
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\response.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 20, 24, 108
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\retry.py", "Python", 469, 0, 0, 0, 0, 0, 0, 0, 29, 123, 621
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\ssl_.py", "Python", 352, 0, 0, 0, 0, 0, 0, 0, 59, 85, 496
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\ssl_match_hostname.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 37, 24, 160
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\ssltransport.py", "Python", 178, 0, 0, 0, 0, 0, 0, 0, 2, 42, 222
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pip\_vendor\urllib3\util\timeout.py", "Python", 200, 0, 0, 0, 0, 0, 0, 0, 11, 61, 272
